time,latitude,longitude,depth,mag,magType,place
2014-03-16T13:21:04.730Z,14.0429,-92.8617,33.94,4.5,mb,Mexico
2014-03-16T13:16:56.700Z,37.7792,-122.1023,11.2,2.2,Md,California
2014-03-16T12:39:29.400Z,17.9039,-67.1095,10,2,Md,Puerto Rico
2014-03-16T12:32:07.500Z,37.6135,-119.3562,8.2,1.2,Md,California
2014-03-16T12:11:38.200Z,38.8175,-122.795,3,1,Md,California
2014-03-16T12:01:55.000Z,37.6608,-118.8517,5.1,1.5,Md,California
2014-03-16T11:59:53.200Z,43.7355,-121.2152,4.5,0.9,Ml,Oregon
2014-03-16T11:47:35.700Z,46.7145,-120.7672,9.2,1.1,Md,Washington
2014-03-16T11:28:54.000Z,63.0801,-148.0876,4.8,1.2,ml,Alaska
2014-03-16T11:17:05.300Z,17.8034,-66.7983,16,1.8,Md,Puerto Rico
2014-03-16T11:15:24.920Z,-16.0141,-179.463,10,4.9,mb,Fiji
2014-03-16T11:14:07.000Z,63.0727,-148.0465,1.3,1.9,ml,Alaska
2014-03-16T11:09:59.000Z,62.4178,-148.3533,42.7,1,ml,Alaska
2014-03-16T10:56:42.000Z,38.748,-122.7453,1.9,0.9,Md,California
2014-03-16T10:47:22.700Z,33.6823,-116.77,18.2,1,Ml,California
2014-03-16T10:38:09.000Z,60.0033,-152.7853,87.2,1.9,ml,Alaska
2014-03-16T10:25:13.900Z,33.711,-116.7493,17.9,1.1,Ml,California
2014-03-16T09:25:59.000Z,67.0311,-144.8782,31.1,1.9,ml,Alaska
2014-03-16T09:14:09.800Z,35.8263,-117.7385,6.8,1.2,Ml,California
2014-03-16T08:59:25.000Z,62.7577,-150.2428,79.9,1.6,ml,Alaska
2014-03-16T08:46:20.320Z,37.181,-97.9001,2.52,3.7,mwr,Kansas
2014-03-16T08:42:09.700Z,33.9732,-117.2482,17.6,1.2,Ml,California
2014-03-16T08:24:49.000Z,66.6367,-154.6777,13.4,3,ml,Alaska
2014-03-16T08:21:41.800Z,37.6767,-118.867,1.2,0.3,Md,California
2014-03-16T08:18:49.000Z,63.2934,-150.5802,100,2.2,ml,Alaska
2014-03-16T08:05:46.300Z,33.7902,-117.6397,3.3,1.5,Ml,California
2014-03-16T07:50:38.000Z,62.3561,-149.0967,17.5,1.1,ml,Alaska
2014-03-16T07:36:31.500Z,37.7763,-122.1017,11.3,1.2,Md,California
2014-03-16T07:23:25.000Z,63.2344,-150.7407,131.4,2.1,ml,Alaska
2014-03-16T07:22:20.000Z,60.0753,-152.5407,88.1,2.2,ml,Alaska
2014-03-16T07:07:44.100Z,36.584,-121.193,7.7,1.4,Md,California
2014-03-16T07:06:00.400Z,46.4937,-119.4328,20.9,1,Md,Washington
2014-03-16T07:03:23.000Z,61.7109,-148.1079,19.8,0.6,ml,Alaska
2014-03-16T06:59:48.000Z,61.7806,-150.0244,36.8,1.5,ml,Alaska
2014-03-16T06:41:25.000Z,17.7966,-66.7287,10,2,Md,Puerto Rico
2014-03-16T06:33:21.700Z,38.7528,-122.707,3.5,0.6,Md,California
2014-03-16T06:10:09.000Z,60.285,-151.431,89.8,1.6,ml,Alaska
2014-03-16T06:09:11.000Z,65.1823,-149.8357,1.7,1.3,ml,Alaska
2014-03-16T06:09:04.100Z,38.8323,-122.8798,2.8,0.8,Md,California
2014-03-16T06:08:11.000Z,65.1683,-149.8741,7.1,1.4,ml,Alaska
2014-03-16T06:07:24.792Z,37.5586,-115.4691,4,1.54,ml,Nevada
2014-03-16T06:07:17.300Z,40.2377,-124.171,13.2,1.8,Md,California
2014-03-16T05:51:06.300Z,38.8168,-122.8183,3,1,Md,California
2014-03-16T05:41:21.600Z,36.107,-118.0553,0,1.5,Ml,California
2014-03-16T05:34:42.090Z,-21.7715,-177.955,348.76,4.8,mb,Fiji
2014-03-16T05:33:33.400Z,18.7061,-65.0158,2,2.7,Md,U.S. Virgin Islands
2014-03-16T05:32:13.800Z,42.4259,78.0518,23.12,4.4,mb,Kyrgyzstan
2014-03-16T05:26:29.500Z,19.5676,-64.2498,43,3.3,Md,British Virgin Islands
2014-03-16T05:20:09.900Z,37.664,-118.8487,5.3,0.6,Md,California
2014-03-16T05:19:04.000Z,62.3832,-149.1252,41.6,1.1,ml,Alaska
2014-03-16T04:53:46.700Z,17.915,-67.1286,9,1.9,Md,Puerto Rico
2014-03-16T04:41:39.000Z,63.4041,-151.4899,6.2,1.2,ml,Alaska
2014-03-16T04:36:48.400Z,17.7989,-66.7289,9,2,Md,Puerto Rico
2014-03-16T04:28:30.596Z,36.2907,-114.8836,0,1.62,ml,Nevada
2014-03-16T04:18:55.000Z,63.4995,-151.064,7,1.1,ml,Alaska
2014-03-16T03:54:28.000Z,66.7268,-152.1266,0.9,2.3,ml,Alaska
2014-03-16T03:52:50.200Z,33.6527,-116.7293,16.5,1.8,Ml,California
2014-03-16T03:46:09.700Z,40.8585,-125.0218,24.4,4,Mw,California
2014-03-16T03:41:18.000Z,63.1927,-150.5592,117.2,1.4,ml,Alaska
2014-03-16T03:38:06.900Z,38.795,-122.7933,3.8,0.9,Md,California
2014-03-16T03:35:54.200Z,34.4848,-118.113,14.4,1.7,Ml,California
2014-03-16T03:20:37.600Z,38.81,-122.813,2.8,0.7,Md,California
2014-03-16T03:17:38.430Z,35.8616,-97.4222,2.77,2.5,mb_lg,Oklahoma
